event_id,lat,lon,timestamp,case_count,region,country,year,month
50,13.82,103.05,2002-03-01,59,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,3
51,13.82,103.05,2002-04-01,20,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,4
52,13.82,103.05,2002-05-01,142,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,5
53,13.82,103.05,2002-06-01,187,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,6
54,13.82,103.05,2002-07-01,256,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,7
55,13.82,103.05,2002-08-01,169,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,8
56,13.82,103.05,2002-09-01,125,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,9
57,13.82,103.05,2002-10-01,86,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,10
58,13.82,103.05,2002-11-01,30,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,11
59,13.82,103.05,2002-12-01,13,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2002,12
60,13.82,103.05,2003-01-01,33,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,1
61,13.82,103.05,2003-02-01,12,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,2
62,13.82,103.05,2003-03-01,29,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,3
63,13.82,103.05,2003-04-01,58,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,4
64,13.82,103.05,2003-05-01,125,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,5
65,13.82,103.05,2003-06-01,234,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,6
66,13.82,103.05,2003-07-01,318,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,7
67,13.82,103.05,2003-08-01,151,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,8
68,13.82,103.05,2003-09-01,119,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,9
69,13.82,103.05,2003-10-01,72,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,10
70,13.82,103.05,2003-11-01,10,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,11
71,13.82,103.05,2003-12-01,1,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2003,12
72,13.82,103.05,2004-01-01,1,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,1
73,13.82,103.05,2004-02-01,4,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,2
74,13.82,103.05,2004-03-01,4,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,3
75,13.82,103.05,2004-04-01,12,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,4
76,13.82,103.05,2004-05-01,17,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,5
77,13.82,103.05,2004-06-01,20,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,6
78,13.82,103.05,2004-07-01,32,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,7
79,13.82,103.05,2004-08-01,34,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,8
80,13.82,103.05,2004-09-01,20,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,9
81,13.82,103.05,2004-10-01,7,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,10
82,13.82,103.05,2004-11-01,7,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,11
83,13.82,103.05,2004-12-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2004,12
84,13.82,103.05,2005-01-01,2,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,1
85,13.82,103.05,2005-02-01,3,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,2
86,13.82,103.05,2005-03-01,15,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,3
87,13.82,103.05,2005-04-01,18,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,4
88,13.82,103.05,2005-05-01,93,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,5
89,13.82,103.05,2005-06-01,167,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,6
90,13.82,103.05,2005-07-01,461,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,7
91,13.82,103.05,2005-08-01,273,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,8
92,13.82,103.05,2005-09-01,133,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,9
93,13.82,103.05,2005-10-01,40,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,10
94,13.82,103.05,2005-11-01,28,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,11
95,13.82,103.05,2005-12-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2005,12
96,13.82,103.05,2006-01-01,5,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,1
97,13.82,103.05,2006-02-01,2,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,2
98,13.82,103.05,2006-03-01,9,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,3
99,13.82,103.05,2006-04-01,23,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,4
100,13.82,103.05,2006-05-01,26,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,5
101,13.82,103.05,2006-06-01,66,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,6
102,13.82,103.05,2006-07-01,102,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,7
103,13.82,103.05,2006-08-01,153,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,8
104,13.82,103.05,2006-09-01,50,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,9
105,13.82,103.05,2006-10-01,26,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,10
106,13.82,103.05,2006-11-01,11,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,11
107,13.82,103.05,2006-12-01,11,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2006,12
108,13.82,103.05,2007-01-01,22,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,1
109,13.82,103.05,2007-02-01,8,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,2
110,13.82,103.05,2007-03-01,44,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,3
111,13.82,103.05,2007-04-01,85,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,4
112,13.82,103.05,2007-05-01,374,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,5
113,13.82,103.05,2007-06-01,837,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,6
114,13.82,103.05,2007-07-01,702,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,7
115,13.82,103.05,2007-08-01,155,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,8
116,13.82,103.05,2007-09-01,77,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,9
117,13.82,103.05,2007-10-01,65,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,10
118,13.82,103.05,2007-11-01,31,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,11
119,13.82,103.05,2007-12-01,9,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2007,12
120,13.82,103.05,2008-01-01,6,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,1
121,13.82,103.05,2008-02-01,4,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,2
122,13.82,103.05,2008-03-01,14,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,3
