Country,Total Cases,Peak Year,Peak Cases,Regions,Peak Month,Epidemic Years,Mean Monthly,Zero %
Cambodia,"164,181",2007,"38,418",24,Jul,None,44.6,26.3%
Indonesia,"187,447",2004,"69,105",30,Dec,None,445.2,6.4%
Lao People'S Democratic Republic,"99,934",2010,"22,903",18,Jul,None,36.6,51.1%
Malaysia,"311,271",2010,"42,413",10,Jan,None,160.1,2.1%
Singapore,"81,831",2005,"14,173",1,Sep,None,378.8,0.0%
Thailand,"1,708,632",1998,"124,062",77,Jul,None,50.7,6.0%
Timor-Leste,"1,041",2005,"1,041",9,Mar,None,23.1,33.3%
Viet Nam,"1,379,503",1998,"234,920",64,Sep,None,112.4,39.0%
