country,total_cases,mean_cases,max_cases,n_records,n_regions,year_min,year_max,zero_ratio
CAMBODIA,164181,44.61440217391304,1859,3680,24,1998,2010,0.2627717391304348
INDONESIA,187447,453.86682808716705,8389,413,29,2004,2006,0.04600484261501211
LAO PEOPLE'S DEMOCRATIC REPUBLIC,99929,38.61244204018547,2643,2588,17,1998,2010,0.4849304482225657
MALAYSIA,311271,160.11882716049382,3425,1944,10,1993,2010,0.02109053497942387
SINGAPORE,81831,378.84722222222223,2642,216,1,1993,2010,0.0
THAILAND,1708632,50.6711743772242,4273,33720,77,1993,2022,0.06034994068801898
TIMOR-LESTE,1041,23.133333333333333,191,45,9,2005,2005,0.3333333333333333
VIET NAM,1379372,127.61328522527523,7265,10809,56,1994,2010,0.31085206772134333
